Date,Close,High,Low,Open,Volume
2008-08-20,5.284728527069092,5.317788087588355,5.217707358498795,5.2525706128149,506951200
2008-08-21,5.23814582824707,5.273007886446148,5.166015716211693,5.24355490449619,539744800
2008-08-22,5.31328010559082,5.3346182640539554,5.276613559793089,5.2841272784538305,439611200
2008-08-25,5.185849666595459,5.29644959514956,5.159101230348588,5.294044402727361,484425200
2008-08-26,5.2186079025268555,5.255874733613025,5.187651790944655,5.192160020971177,445550000
2008-08-27,5.249566555023193,5.2823259794804684,5.175032444113522,5.208693113883524,477780800
2008-08-28,5.221615314483643,5.2970514588057185,5.191861785584802,5.267899027511572,431384800
2008-08-29,5.095086574554443,5.214401619042898,5.0803600871198515,5.198172387863277,599289600
2008-09-02,4.994704246520996,5.214400520562062,4.958939755456943,5.181340967669231,780763200
2008-09-03,5.017847537994385,5.069541128409309,4.928887501916202,5.0142409524398435,734834800
2008-09-04,4.845335960388184,5.046399068266757,4.833013862488414,4.984787374967803,743386000
2008-09-05,4.814079761505127,4.8808003834252345,4.738042529152056,4.766294113015578,786884000
2008-09-08,4.746156692504883,4.9556347385976744,4.552007032558693,4.946017179457313,1045979200
2008-09-09,4.558619022369385,4.807467363549347,4.501816914786286,4.714299660453956,1245025600
2008-09-10,4.55651330947876,4.658096335683848,4.47206155465485,4.577851860283537,973142800
2008-09-11,4.587772369384766,4.597991027845297,4.3879118457818915,4.453429874373687,971135200
2008-09-12,4.476271152496338,4.535478057644444,4.402938856124757,4.535478057644444,793027200
2008-09-15,4.2184038162231445,4.438701144244209,4.2184038162231445,4.268594634314423,920634400
2008-09-16,4.203979015350342,4.282721171626937,3.971660482250234,4.023052706151928,1199836400
2008-09-17,3.841827869415283,4.162806801477149,3.841827869415283,4.162205302542063,1200455200
2008-09-18,4.029969215393066,4.070241573240365,3.626941877816726,3.9241779851594623,1676253600
2008-09-19,4.2349348068237305,4.333813327031751,4.096685609026875,4.2857263355024315,1430875600
2008-09-22,3.93860125541687,4.215100098468296,3.926880656189382,4.205783086812195,856713200
