Datetime,Unnamed: 0,Vader Title Score,Vader Description Score,Flair Title Label,Flair Title Score,Flair Description Label,Flair Description Score,DistilBERT Title Label,DistilBERT Title Score,DistilBERT Description Label,DistilBERT Description Score,FinBERT Title Label,FinBERT Title Score,FinBERT Description Label,FinBERT Description Score,SVC Title Label,SVC Description Label,LR Title Label,LR Title Score,LR Description Label,LR Description Score,NB Title Label,NB Title Score,NB Description Label,NB Description Score,GBDT Title Label,GBDT Title Score,GBDT Description Label,GBDT Description Score,RF Title Label,RF Title Score,RF Description Label,RF Description Score,KNN Title Label,KNN Title Score,KNN Description Label,KNN Description Score,PriceDiff30min,before10mins,in20mins
2025-02-10 00:16:00,66,-0.34,-0.0772,1,0.891094267,-1,0.605616391,1,0.755876124,1,0.917087018,0,0.755876124,0,0.917087018,-1,-1,-1,0.863132336,-1,0.603639985,-1,0.93846141,1,0.387130613,-1,0.667206492,-1,0.395875314,-1,0.86,-1,0.39,-1,1.0,-1,0.6,0.5,6066.75,6069.5
2025-02-10 03:56:00,65,0.3818,0.936,1,0.977796018,1,0.979356229,1,0.995530069,1,0.998158157,0,0.995530069,0,0.998158157,-1,-1,-1,0.582231591,-1,0.603501193,-1,0.87323355,1,0.438452508,-1,0.706352877,-1,0.618612615,-1,0.7,-1,0.68,-1,1.0,-1,1.0,3.75,6068.75,6070.75
2025-02-10 08:44:00,64,0.0,0.7906,-1,0.967151523,-1,0.989702106,1,0.664425194,-1,0.993659198,0,0.664425194,0,0.993659198,-1,-1,-1,0.599222914,-1,0.657914275,-1,0.665965414,-1,0.428959608,-1,0.437598001,-1,0.658495882,-1,0.4,-1,0.81,-1,0.4,-1,0.8,-2.25,6085.0,6086.25
2025-02-10 09:19:00,63,-0.3612,0.9317,-1,0.814943016,1,0.996816933,-1,0.913443983,1,0.997977078,0,0.913443983,0,0.997977078,-1,-1,-1,0.610669252,-1,0.627932951,-1,0.610785607,1,0.459559863,-1,0.699828038,-1,0.721659785,-1,0.7,-1,0.97,1,0.6,1,0.6,-11.75,6084.25,6071.75
2025-02-10 12:04:00,70,0.0,0.6908,-1,0.970120072,1,0.792457283,1,0.942379594,1,0.996384025,0,0.942379594,0,0.996384025,1,1,-1,0.628631791,-1,0.51797897,-1,0.617688474,1,0.460036338,-1,0.97711834,-1,0.760466154,-1,0.87,-1,0.77,-1,0.4,1,0.6,-1.0,6083.25,6079.75
2025-02-10 14:18:00,62,-0.4404,-0.9405,-1,0.886255443,-1,0.996518493,-1,0.992598414,-1,0.990974605,0,0.992598414,0,0.990974605,-1,-1,-1,0.654293161,-1,0.659628976,-1,0.867439516,1,0.412260046,-1,0.721659785,-1,0.650651751,-1,1.0,-1,0.66,-1,0.4,-1,0.4,-2.5,6091.25,6092.75
2025-02-10 14:22:00,59,0.6705,0.9477,-1,0.784277856,-1,0.998436868,1,0.992719054,-1,0.99184227,0,0.992719054,0,0.99184227,-1,-1,-1,0.566833977,-1,0.626203006,-1,0.627839024,1,0.438902094,-1,0.681475632,-1,0.698406941,-1,0.74,-1,0.82,-1,0.4,-1,0.6,-5.75,6093.0,6090.0
2025-02-10 15:56:00,60,0.3612,0.5532,-1,0.973101497,-1,0.647187948,-1,0.998903871,1,0.997145832,0,0.998903871,0,0.997145832,-1,-1,-1,0.763232063,-1,0.654148426,-1,0.830486559,-1,0.396512793,-1,0.789158994,-1,0.721659785,-1,0.92,-1,0.93,-1,0.8,-1,0.8,-1.75,6087.75,6084.75
2025-02-10 17:22:00,69,0.4588,0.4215,-1,0.99695766,-1,0.995576501,-1,0.963582933,-1,0.987651706,0,0.963582933,0,0.987651706,-1,-1,-1,0.697907561,-1,0.671435683,-1,0.760266721,1,0.590991139,-1,0.635202783,-1,0.721659785,-1,0.6,-1,0.88,-1,0.6,-1,1.0,,,
2025-02-10 17:39:00,58,-0.5994,-0.4215,-1,0.969108045,-1,0.95808053,1,0.968409836,-1,0.727175295,0,0.968409836,0,0.727175295,-1,-1,-1,0.578736699,-1,0.735590699,-1,0.59915124,1,0.44792307,-1,0.704996089,-1,0.721659785,-1,0.6,-1,0.88,-1,0.8,-1,0.8,,,
2025-02-10 19:28:00,74,-0.25,0.6249,-1,0.987681031,-1,0.98135376,-1,0.990135372,1,0.951836109,0,0.990135372,0,0.951836109,-1,-1,-1,0.819708384,-1,0.705572003,-1,0.90795567,-1,0.594117493,-1,0.789158994,-1,0.613465798,-1,0.83,-1,0.62,-1,0.8,-1,0.8,2.5,6075.25,6080.5
2025-02-10 23:30:00,61,0.0,0.8713,-1,0.855743229,1,0.847162724,-1,0.953585744,1,0.910144031,0,0.953585744,0,0.910144031,-1,1,-1,0.721394894,-1,0.592912867,-1,0.848837262,-1,0.443654585,-1,0.721659785,-1,0.52129438,-1,0.99,-1,0.61,-1,0.8,-1,0.6,-0.25,6075.25,6074.75
2025-02-10 23:40:00,71,-0.6705,-0.8591,-1,0.982713103,1,0.730106592,-1,0.986645281,1,0.790323019,0,0.986645281,0,0.790323019,-1,-1,-1,0.731357781,-1,0.666962293,-1,0.688093527,-1,0.43879654,-1,0.721659785,-1,0.675653617,-1,0.75,-1,0.62,-1,0.8,-1,0.4,2.25,6075.5,6075.25
