,0
0,BofA's loan growth drives better-than-expected profit
1,London taxi maker names former Audi executive as new CEO
2,Ferrari chairman reiterates support for CEO Camilleri
3,"U.S. start-up CommonGrounds raises $100 million, unveils 'hackable' shared office"
4,McDonald's loses 'Big Mac' trademark case to Irish chain Supermac's
5,EU court paves way for $2 billion UPS claim as annuls TNT bid veto
6,Ryanair pilot unions in 'several countries' suspend talks: ECA
7,Guggenheim's Scott Minerd says Fed will pause to start 2019
8,Marriott looks to reboot loyalty plan after cyber attack
9,Huawei founder says firm does not spy for China
10,China central bank's record $83 billion injection heightens worries over ailing economy
11,China must prepare for economic difficulties in 2019: premier
12,China posts scant rise in outbound investment in 2018 amid outflow curbs
13,"BOJ to cut price forecasts, keep bright view of economy: sources"
14,Salesforce in talks to buy ClickSoftware for $1.5 billion: report
15,"On the autofarm: China turns to driverless tractors, combines to overhaul agriculture"
16,Tokyo court denies Nissan Ghosn's latest bail request
17,Sears chairman's takeover proposal faces moment of truth
18,Delaware judge orders Papa John's to turn over documents to founder
19,Ex-employee of proxy solicitor Georgeson convicted of fraud
20,"Verizon deepens ties with Apple, offers free Apple Music to some U.S. customers"
21,USTR promises exclusion process for higher tariffs if China talks fail
22,"Industry must rein in spend on electric, self-driving cars: Magna CEO"
23,"Snap CFO Tim Stone to resign, shares drop 8 percent"
24,"Delta, United profit beats encourage sector, but shutdown impact looms"
25,France seeks Renault board meeting to replace Ghosn: sources
26,Netflix raises prices for U.S. subscribers
27,"As loans and revenue shrink, Wells Fargo leans on cost cuts"
28,JPMorgan misses fourth-quarter profit estimates as bond trading slumps
29,Ralph Winter office to invest $300 million in Medici U.S. shared housing
30,Stocks rise on China hopes; sterling rebounds as Brexit vote fails
31,"Netflix, China boost Wall Street as investors shrug off Brexit vote"
32,PG&E plunges for second day after step toward bankruptcy
33,United profit beats forecasts as new flights from hubs pay off
34,Citi says chance of delay to Brexit now 'very high'
35,"VW, Ford team up on trucks, eye deals on EVs, self-driving cars"
36,"White House considering former PepsiCo CEO, Treasury official to lead World Bank: source"
37,Oil rises about 3 percent on economic stability hopes
38,"Shoe retailer Payless to explore options, including sale: sources"
39,Walgreens and Microsoft partner to develop digital healthcare services
40,"PG&E misses interest payment; bonds, shares dive"
41,"Best U.S. fund managers of '18 buying healthcare, pot stocks as market wobbles"
42,Exclusive: Brazil's Odebrecht offers debt-for-equity swap for Atvos unit - sources
43,Drug companies greet 2019 with U.S. price hikes
44,"U.S. charges hackers, traders with stealing SEC filings"
45,"Ex-Barclays trio 'cheated global financial system', Euribor trial told"
46,Fiat Chrysler looking at options to plug hole in its truck lineup: CEO
47,Airbnb says profitable for two straight years amid IPO talks
48,"Exclusive: Jana liquidates two hedge funds, to focus only on activism"
49,Apollo Global nears deal to buy Arconic for more than $10 billion: WSJ
50,French court cancels Monsanto weedkiller permit on safety grounds
51,"UnitedHealth profit beats expectations, shares rise"
52,Weak U.S. producer prices support tame inflation picture
53,Walmart opts to leave CVS partnerships over pricing dispute
54,Brighter future for sterling seen if no-deal Brexit is averted
55,Facebook to invest $300 million to help local news survive
56,Corporate investors pile into electric vehicle startups
57,Factbox: Corporate investments in EV startups
58,Petrobras board nominee fined in 2016 for insider trading: documents
59,U.S. holiday shoppers spend record $126 billion online: Adobe
60,UnitedHealth says performing better than first-quarter consensus estimate suggests
61,German court throws out Qualcomm's latest patent case against Apple
62,PG&E restructuring highlights arcane California legal rule
63,No clear path for California as massive PG&E utility nears bankruptcy
64,Rothschild vice chairman resigns from PG&E board
65,"Living the tech dream, thanks to a novel apprenticeship program"
66,First U.S. crude cargoes head to China since trade breakthrough: sources
67,China signals more stimulus as economic slowdown deepens
68,UK gambling stocks drop after U.S. DOJ reverses opinion on internet betting
69,"Alaska officials probing BP oil, gas wells at Prudhoe Bay after spill"
70,Eyes on Newcrest as gold dealmaking heats up
71,"Volkswagen to invest $800 million, build new electric vehicle in U.S."
72,PG&E prepares bankruptcy filing after California wildfires
73,Weak China trade weighs on stocks; risk-off trade in play
74,"China worries weigh on Wall Street, earnings expectations fall"
75,Doing a Buffett? Bet on S&P 500 causes flap on options market
76,VW CEO says hopes U.S. investments help avoid tariffs against EU
77,GM electric vehicle strategy last chance for Cadillac's success: executive
78,FCA reviewing Italy plan after new taxes for polluting cars
79,"PG&E bond prices fall, spreads widen on bankruptcy plans"
80,Newmont takes top gold producer spot with $10 billion Goldcorp buy
81,"U.S. government shutdown holds up FAA approval of aircraft, routes"
82,Airbus steps up pressure on suppliers over Canadian jet
83,"Air Canada would study Airbus, Boeing for transatlantic narrowbody needs"
84,Nissan CEO calls for Renault board to review Ghosn findings
85,U.S. healthcare stocks seen maintaining momentum after strong 2018
86,"Citigroup sees $2 billion more revenue from lending in 2019, shares rise"
87,Gannett gets hostile bid from hedge fund-backed MNG
88,Pernod Ricard to meet activist Elliott ahead of earnings update: sources
89,FedEx pays $35.4 million to end NY lawsuit over illegal cigarettes
90,HSBC settles forex deals worth $250 billion on blockchain in last year
91,Wells Fargo settles SEC lawsuit over Curt Schilling's 38 Studios
92,Trump predicts U.S. will reach trade deal with China
93,Sears bankruptcy raises old questions about cost of going broke
94,China says countries should end 'fabrications' about Huawei
95,Factbox: Huawei's challenges in Europe mount after Polish arrests
96,"Fintech firms want to shake up banking, and that worries the Fed"
97,Exclusive: PG&E talking to banks on multibillion dollar bankruptcy financing - sources
98,ACWA considers supporting solar panel manufacturing in Saudi
99,Brazil government nominates three new Petrobras board members amid accusations of meddling
100,Former Nissan boss Ghosn suffers 'harsh' treatment in jail: wife
101,Key dates in the investigation of Nissan ex-Chairman Ghosn
102,Saudi Arabia plans $2 billion solar and carbon black complex: official
103,Embraer says cash position from Boeing deal still to be determined
104,CapitaLand bets on new markets with $4.4 billion Temasek real estate deal
105,"China's exports shrink most in two years, raising risks to global economy"
106,"China says biggest trade worries this year are external uncertainty, protectionism"
107,China's 2018 trade surplus with U.S. highest on record going back to 2006
108,China car sales hit reverse for first time since 1990s
109,Japan's Okada asks Manila bourse to block listing of Universal's unit
110,"CEO exits as PG&E faces fire liabilities, bankruptcy preparations"
111,Renault-Nissan's Ghosn received 7 million euros from Dutch JV: Les Echos
112,"Chinese FDI into North America, Europe falls 73 percent in 2018: report"
113,Samsung to launch India-first smartphones to counter Chinese rivals
114,U.S. warns German companies of possible sanctions over Russian pipeline
115,German railway to propose sale of Arriva subsidiary: source
116,German antitrust body opposes Siemens-Alstom merger: report
117,VW could face recall of more cars over emissions: report
118,Israel drone maker Aeronautics gets $232 million buyout offer
119,Bank of China to enable payment in yuan on U.S. e-commerce platforms: Xinhua
120,Saudi energy minister says oil market on 'right track'
121,Saudi energy minister says no need for extraordinary OPEC meeting before April
122,Saudi Aramco's bond will probably be in 10 billion range: energy minister
123,Huawei sacks employee arrested in Poland on spying charges
124,DP World signs acquisition agreement for Chile port operator
125,SpaceX to lay off 10 percent of workforce
126,"OPEC is not the enemy of the U.S., UAE energy minister says"
127,India's online sellers to appeal against competition commission's Flipkart ruling
128,"China's premier says tax cuts support employment, economic stability"
129,Nissan top executive Munoz resigns amid broadened Ghosn probe
130,"Nissan expands Ghosn probe to more countries, executive Munoz under scrutiny: sources"
131,"Pemex's New York roadshow spooks investors, yields spike"
132,"U.S. shutdown sends grain traders, farmers hunting for data"
133,Apple demanded $1 billion for chance to win iPhone: Qualcomm CEO
134,Slashed profit expectations may set stage for gains
135,"Take Five: May Day, May Day! World markets themes for the week ahead"
136,Wall Street's five-day rally flickers out as earnings near
137,Disney CEO stock award worth as much as $149.6 million in 2018
138,Huawei Canada executive leaves post as scrutiny of company grows
139,U.S. stocks pause after five-day rally; dollar rebounds
140,Microsoft wins $1.76 billion defense contract: Pentagon
141,GE unit wins $450 million U.S. defense contract: Pentagon
142,"Apple considered Samsung, MediaTek to supply 5G modems for 2019 iPhones"
143,Alphabet board sued on allegations of sexual misconduct cover-up
144,"GM bucks gloomy earnings forecast trend, shares jump"
145,New Petrobras CEO pushes to oust board members: sources
146,Exclusive: Trafigura refuses to hand over emails in Brazil bribery case
147,U.S. government shutdown may depress January job growth
148,Battered U.S. bank stocks may get a boost this year
149,Citigroup allows hedge fund ValueAct more access
150,Square's payments chief joins Visa as head of seller solutions
151,Autostrade to pay 439 million euros for Genoa bridge recostruction: sources
152,Ghosn's Renault lieutenant drew extra salary via holding: documents
153,Fox says no plans to bid for sports networks Disney may sell
154,Cheaper gasoline weighs on U.S. consumer prices in December
155,"Autostrade executives guilty of manslaughter in 2013 motorway accident, CEO acquitted"
156,"Ford plans to cut 1,150 jobs in Britain, Unite union says"
157,"As world economy stumbles into 2019, eyes turn to China"
158,"Volkswagen delivered 10.8 million vehicles in 2018, eyes world No.1 spot"
159,Exclusive: GM's Cadillac will introduce EV in fight against Tesla - sources
160,"After Monsanto patent ruling, Indian farmers hope for next-gen GM seeds"
161,Exclusive: Lessors to India's troubled Jet Airways consider taking back planes -sources
162,Timeline: Debt-laden Jet Airways' rocky ride
163,China retailers slash iPhone prices after Apple sales warning
164,Nissan ex-chief Ghosn seeks bail after indictment on two new charges
165,France's 'yellow vest' protests could shake up euro zone bond markets
166,Impact of 'Yellow Vests' protests on French and European companies
167,Geely cuts its Daimler stake by more than half: Bloomberg
168,"China's Geely says it has not sold Daimler shares, denies Bloomberg report"
169,Exclusive: China to set lower GDP growth target of 6-6.5 percent in 2019 - sources
170,China banks' bad loan ratio climbs to 10-year high at end-2018
171,China's Wanda files for U.S. IPO of sports unit to raise up to $500 million: sources
172,BMW says group sales up 1.1 percent in 2018
173,"Indonesia's plans to regulate ride-hailing rates threaten Grab, Go-Jek models"
174,How Santander's Brazil unit is driving growth with car loans
175,China and slow growth may keep the punchbowl brimming
176,Nissan cancels lease on Ghosn's Tokyo apartment
177,Exclusive: Goldman Sachs on course to launch cash management in mid-2020
178,Trump's attorney general nominee to recuse from AT&T-Time Warner appeal
179,J&J raises U.S. prices on around two dozen drugs
180,U.S. judge lets Buffett's Dairy Queen sue W.B. Mason over 'Blizzard'
181,Investment bank Perella Weinberg plans to name Peter Weinberg as CEO: source
182,"Ford, Jaguar slash thousands of jobs across Europe"
183,U.S. expects China's top trade negotiator to visit 'most likely' this month
184,"Macy's cuts profit, sales forecast after weak holiday season"
185,Trump says U.S. is having tremendous success with China on trade
186,Chinese official 'most likely' to visit in January for trade talks: U.S. Treasury Secretary
187,Investors ask how the Bezos divorce will affect Amazon
188,Ford's ride-share service Chariot to shut operations by March-end
189,"Wall Street shrugs off Macy's, rallies for fifth session"
190,JPMorgan Chase boosting employee bonus pool 3 percent for 2018
191,"Moody's lowers PG&E's credit rating to junk, joins S&P"
192,Brazil approves Boeing-Embraer tie-up with new commitment to keep local jobs
193,Stocks rise for fifth straight day as the Fed supports
194,Fiat Chrysler agrees to $800 million U.S. diesel-emissions settlement
195,Macy's shares plunge as weak holiday sales prompt forecast cut
196,Sears chairman confirms new $5 billion bid to save bankrupt retailer
197,Prosecutors set to indict Nissan's Ghosn again on Friday: source
198,"Renault, Nissan boards get investigation updates before expected new Ghosn indictment"
199,Germany's Bosch to pay $131 million to settle U.S. diesel emissions claims
200,Carmaker Rolls-Royce urges UK's May to avoid a hard Brexit
201,Court says Amazon 'Dash' buttons violate German law
202,Exclusive: Brazil telecom Oi hires BofA Merrill Lynch to sell some assets: sources
203,Investor Browder asks France to investigate Danske in Magnitsky case
204,Factbox: High-profile corporate chieftain's divorces
205,VW seeks damages from ex-managers for emissions scandal: report
206,HSBC to pay $30 million to settle bond rigging lawsuit in U.S.
207,Pacific trade deal spurs Canadian farm sales to Japan as U.S. watches
208,"Sen. Sanders, Rep. Cummings introduce bill to lower U.S. drug prices"
209,China vice president urges dialogue for stable China-U.S. ties: Xinhua
210,Ford does not rule out plant closures in Europe as part of overhaul
211,Starboard building stake in MGM Resorts: sources
212,"American Airlines shares fall on dour fourth quarter expectations, weigh on sector"
213,Airbus loses to Boeing in annual jet order race
214,U.S. weekly jobless claims showcase economy's strength
215,"Exclusive: Modi's 'Make in India' a casualty as steel, auto firms spar over sourcing"
216,"Jaguar Land Rover to slash UK jobs after China, diesel drop"
217,"In Beijing talks, U.S. seeks details on Chinese goods purchases, trade promises"
218,Exclusive: Glencore loses exclusive rights to major Libyan oil grades
219,Apple cuts current-quarter production plan for new iPhones by 10 percent: Nikkei
220,Nissan board reaffirms commitment to alliance with Renault and Mitsubishi
221,"Target posts strong holiday sales, maintains outlook"
222,Nike's Dutch tax status investigated by EU regulators
223,"Jaguar Land Rover to cut 4,500 jobs, mainly in Britain"
224,Nike's Dutch tax status investigated by EU regulators
225,"Jaguar Land Rover to cut 4,500 jobs, mainly in Britain"
226,"Looking past Khashoggi, investors flock to Saudi Arabia bond sale"
227,M.M. Warburg sues Deutsche Bank over share trade tax
228,U.S. buyback market support may wane in 2019
229,Dutch government says it will cooperate with EU probe into Nike tax status
230,Exclusive: Saudi private jet industry stalls after corruption crackdown
231,Jaguar Land Rover clear they regard UK as home: PM May's spokesman
232,"At China port, tariff drop a salve for hard-hit traders of American cars"
233,AXA moves international risk to Ireland from UK ahead of Brexit
234,Volkswagen sells record 6.24 million VW vehicles in 2018
235,U.S. oil export boom sparks a battle to build Texas ports
236,"Vodafone plans to cut up to 1,200 jobs from its Spanish business"
237,"Stocks boosted by U.S.-China trade hope, oil prices soar"
238,"China says trade talks with U.S. made progress on forced tech transfers, IP rights"
239,"Exclusive: VW, China spearhead $300 billion global drive to electrify cars"
240,Fiat Chrysler to pay more than $700 million over U.S. diesel emissions claims: sources
241,California utility PG&E explores bankruptcy filing: sources
242,Exclusive: Sears chairman submits new roughly $5 billion bid to save retailer - sources
243,"VW, Ford to reveal deeper alliance next week: sources"
244,"Fed may be open to changes to balance sheet plan, minutes show"
245,Judge proposes PG&E power restrictions for next California fire season
246,Mexico fuel shortage worries industry as lines in capital grow
247,"Watchdog orders Deutsche Bank to re-examine 20,000 risky customers by June"
248,"Bed Bath & Beyond forecasts 2019 profit ahead of estimates, shares jump"
249,Judge proposes PG&E power restrictions for next California fire season
250,Skydance hires ousted Disney animation head John Lasseter
251,New York's iconic Chrysler Building put up for sale
252,Wall Street extends rally as chipmakers rebound
253,Amazon CEO Jeff Bezos and wife MacKenzie to divorce
254,Renault's CEO moved tax domicile to Netherlands in 2012: paper
255,Tokyo court rejects request to end Ghosn's detention: Jiji
256,Volkswagen hires Apple executive for autonomous vehicle role
257,Former Insys CEO pleads guilty to opioid kickback scheme
258,"Fed policymakers say U.S. rate hikes can wait, for now"
259,Traders keep bets against further Fed rate hikes
260,"Apple, Qualcomm spar over CEOs' comments on settlement talks"
261,"CBS News head David Rhodes steps down, Susan Zirinsky to take over"
262,U.S. top court rejects Exxon in climate change document dispute
263,"Lennar sees housing demand rebounding, shares up nearly 10 percent"
264,BlackRock elevates executive behind fast-growing ETF unit: memo
265,"Danske Bank, ex-CEO are sued in U.S. over money laundering scandal"
266,Airbus plane-making chief says factory problems easing after delays
267,Fed may still need to hike rates twice this year: Rosengren
268,State Street plans to lay off 15 percent of senior management: Bloomberg
269,Toyota recalls 1.7 million vehicles worldwide over air bag inflators
270,"Oil up more than 4 percent on U.S.-China trade talk hopes, OPEC cuts"
271,China pledges to buy 'substantial amount' of U.S. goods: USTR
272,"GM workers protest at Oshawa plant in Canada, interrupting output"
273,U.S. government says shutdown may slow resolution of CVS/Aetna court process
274,Tesla sued for passenger death due to defective battery
275,Lennar sees improvement in buyer traffic in first quarter
276,Britain's ICO fines Cambridge Analytica for failing to comply with order
277,"Evans still sees U.S. rate hikes but cites risks, says Fed can wait a bit"
278,Fed's Evans sees three U.S. rate hikes in 2019
279,"Bostic: Fed needs to be patient, seek 'greater clarity' on economic risks"
280,Bostic: Fed should let economy run for 'a while' before further rate action
281,"Exclusive: Top suspect in Vitol, Glencore Brazil bribery case arrested in U.S. - court"
282,Exclusive: Fiat Chrysler nearing U.S. diesel emissions settlement - source
283,"Exclusive: New documents link Huawei to suspected front companies in Iran, Syria"
284,"Move aside, backseat driver! New tech at CES monitors you inside car"
285,HNA sells majority stake in Manhattan building in $422 million deal
286,China's approval of DowDuPont soy poses challenge to Bayer
287,Factbox: What can the state of California do about PG&E?
288,World Bank's Kim to join Global Infrastructure Partners
289,U.S. government official says trade talks with China continuing Wednesday
290,U.S.-China trade talks extended amid some signs of progress
291,"Venezuela congress slams oil deals with U.S., French companies"
292,LG Electronics sees 80 percent drop in fourth-quarter profit; analysts point to thinning TV margins
293,China gives long-awaited GM crop approvals amid U.S. trade talks
294,"Factbox: China approves new GMO soybean, corn and canola traits"
295,"Apple, Facebook propel Wall Street to three-week peak"
296,"On brink of demise, Sears to reconsider billionaire chairman's bid"
297,Kroger plans $1.2 billion debt offering
298,U.S. retail imports level off after China tariff avoidance rush
299,U.S. delegation member says trade talks with China to continue Wednesday
300,Sears workers demand hardship fund after Toys 'R' Us success
301,Mercedes claims luxury car crown as analysts eye challenger Tesla
302,"GM did not heed call to keep Oshawa, Ontario plant open: union boss"
303,PG&E falls further after S&P cuts credit rating to junk
304,Prospect of U.S. profit drop rises for investors
305,Nissan's Ghosn claims innocence in first appearance since November arrest
306,"Boeing delivers record 806 aircraft in 2018, shares jump 4 percent"
307,World stocks rise on U.S.-China trade talk hopes
308,Verizon adds more phone subscribers than expected in fourth quarter
309,"Airbus delivered 800 jets in 2018, pushing shares higher"
310,"U.S. job openings drop, but still at lofty levels"
311,"U.S. initiative warns firms of hacking by China, other countries"
312,Latest trial in J&J talc litigations gets under way in California
313,American Express suspends a director in foreign-exchange pricing probe: WSJ
314,Scant relief for U.S. aluminum users from removal of Rusal sanctions
315,India to issue new safety rules for A320neos with Pratt & Whitney engines
316,"Eli Lilly to cut 250 jobs at France plant, through voluntary redundancy"
317,Monsanto patent victory seen as a boost for biotech investment in India
318,"MetLife names Khalaf CEO, Kandarian to retire"
319,Forest fire insurance costs soar
320,Union Pacific jumps 8 percent after company picks turnaround expert as COO
321,"'We are down, but not out': Sears gets feisty on social media"
322,"Trump renews dig at Fed, expresses longing for lower interest rates"
323,Samsung Electronics says weak chip demand sent fourth-quarter profit well below market estimates
